englishname,hebrewname,morphology,definition,transliteration,dictionary
Bath-sheba,בַּת־שֶׁבַע,pr. n. f.,"[{'definition': 'Bath-sheba = ""daughter of an oath""'}, {'definition': 'the wife of Uriah whom David had murdered,  having had adulterous relations with her; subsequently wife of David and mother of Solomon, Shimea,  Shobab,  and Nathan'}]",bath-sheh'-bah,BDB Augmented Strong
Bath-shua,בַּת־שׁוּעַ,pr. n. f.,"[{'definition': 'Bath-shua = ""daughter of wealth""'}, {'definition': ""the wife of Uriah whom David had murdered,  having had adulterous relations with her; subsequently wife of David and mother of Solomon, Shimea,  Shobab,  and Nathan (alternate spelling to 'Bathsheba')""}, {'definition': 'wife of Judah'}]",bath-shoo'-ah,BDB Augmented Strong
Gomer,גֹּמֶר,pr. n. f.,"[{'definition': 'Gomer = ""complete""'}, {'definition': 'n pr m'}, {'definition': 'the eldest son of Japheth and grandson of Noah; the progenitor of the early Cimmerians and other branches of the Celtic family'}, {'definition': 'n pr f'}, {'definition': ""the unfaithful wife of the prophet Hosea; Hosea's relationship with her was symbolic of God's relationship with wayward Israel""}]",go'-mer,BDB Augmented Strong
Deborah,דְּבּוֹרָה,pr. n. f.,"[{'definition': 'Deborah = ""bee""'}, {'definition': 'the nurse of Rebekah who accompanied her from the house of Bethuel'}, {'definition': 'a prophetess who judged Israel'}]",deb-o-raw',BDB Augmented Strong
Dinah,דִּינָה,pr. n. f.,"[{'definition': 'Dinah = ""judgment""'}, {'definition': 'daughter of Jacob by Leah,  full sister of Simeon and Levi'}]",dee-naw',BDB Augmented Strong
Delilah,דְּלִילָה,pr. n. f.,"[{'definition': 'Delilah = ""feeble""'}, {'definition': 'the Philistine mistress of Samson who betrayed the secret of his great strength,  and by cutting his hair,  enfeebled him and delivered him to the Philistines'}]",del-ee-law',BDB Augmented Strong
Hagar,הָגָר,pr. n. f.,"[{'definition': 'Hagar = ""flight""'}, {'definition': ""Sarah's Egyptian slave girl,  Abraham's concubine,  Ishmael's mother""}]",haw-gawr',BDB Augmented Strong
Hadassah,הֲדַסָּה,pr. n. f.,"[{'definition': 'Hadassah = ""myrtle""'}, {'definition': ""queen Esther's Jewish name""}]",had-as-saw',BDB Augmented Strong
Hodiah,הוֹדִיָּה,pr. n. f.,"[{'definition': 'Hodiah = ""majesty of Jehovah""'}, {'definition': 'one of the two wives of Ezra,  a man of Judah'}]",ho-dee-yaw',BDB Augmented Strong
Vashti,וַשְׁתִּי,pr. n. f.,"[{'definition': 'Vashti = ""beautiful""'}, {'definition': 'the queen,  wife of Ahasuerus,  whom he divorced for disobeying his orders'}]",vash-tee',BDB Augmented Strong
Zebudah,זְבִידָה,pr. n. f.,"[{'definition': 'Zebudah = ""given""'}, {'definition': 'wife of Josiah and mother of Jehoiakim,  both kings of Judah'}]",zeb-ee-daw',BDB Augmented Strong
Zoheleth,זֹחֶלֶת,pr. n. f.,"[{'definition': 'Zoheleth = ""serpent""'}, {'definition': 'a boundary stone near Jerusalem where Adonijah slew sheep and oxen'}]",zo-kheh'-leth,BDB Augmented Strong
Zilpah,זִלְפָּה,pr. n. f.,"[{'definition': 'Zilpah = ""a trickling""'}, {'definition': 'the Syrian given by Laban to Leah as a handmaid,  a concubine of Jacob, mother of Asher and Gad'}]",zil-paw,BDB Augmented Strong
Zeresh,זֶרֶשׁ,pr. n. f.,"[{'definition': 'Zeresh = ""gold""'}, {'definition': 'the wife of Haman,  the Agagite'}]",zeh'-resh,BDB Augmented Strong
Haggith,חַגִּית,pr. n. f.,"[{'definition': 'Haggith = ""festive""'}, {'definition': 'a wife of David and mother of Adonijah'}]",khag-gheeth',BDB Augmented Strong
Hoglah,חׇגְלָה,pr. n. f.,"[{'definition': 'Hoglah = ""partridge""'}, {'definition': '3rd of 5 daughters of Zelophehad,  a descendant of Manasseh'}]",khog-law',BDB Augmented Strong
Hodesh,חֹדֶשׁ,pr. n. f.,"[{'definition': 'Hodesh = ""new moon""'}, {'definition': 'the wife of Shaharaim,  a Benjamite'}]",kho'-desh,BDB Augmented Strong
Eve,חַוָּה,pr. n. f.,"[{'definition': 'Eve = ""life"" or ""living""'}, {'definition': 'the first woman,  wife of Adam'}]",khav-vaw',BDB Augmented Strong
Hushim,חוּשִׁים,pr. n. f.,"[{'definition': 'Hushim = ""who makes haste""'}, {'definition': 'n pr f'}, {'definition': 'one of the two wives of Shaharaim'}, {'definition': 'n pr m'}, {'definition': 'the sons of Aher,  a Benjamite'}, {'definition': 'descendants of Dan'}]",khoo-sheem',BDB Augmented Strong
Helah,חֶלְאָה,pr. n. f.,"[{'definition': 'Helah = ""rust""'}, {'definition': 'one of the two wives of Ashur,  father of Tekoah'}]",khel-aw',BDB Augmented Strong
Huldah,חֻלְדָּה,pr. n. f.,"[{'definition': 'Huldah = ""weasel""'}, {'definition': 'a prophetess in the time of Josiah whom Josiah asked for an authoritative opinion on the book of the law which Hilkiah found'}]",khool-daw',BDB Augmented Strong
Hamutal,חֲמוּטַל,pr. n. f.,"[{'definition': 'Hamutal = ""father-in-law is protection""'}, {'definition': 'one of the wives of Josiah,  daughter of Jeremiah of Libnah,  mother of Jehoahaz and Zedekiah'}]",kham-oo-tal',BDB Augmented Strong
Hannah,חַנָּה,pr. n. f.,"[{'definition': 'Hannah = ""grace""'}, {'definition': 'the mother of Samuel,  one of the wives of Elkanah'}]",khan-naw',BDB Augmented Strong
Hephzi-bah,חֶפְצִי בָּהּ,pr. n. f.,"[{'definition': 'Hephzi-bah = ""my delight is in her""'}, {'definition': 'the queen of King Hezekiah and mother of Manasseh'}, {'definition': 'a name for Jerusalem (fig.)'}]",khef-tsee'baw,BDB Augmented Strong
Taphath,טָפַת,pr. n. f.,"[{'definition': 'Taphath = ""ornament""'}, {'definition': 'the daughter of Solomon who was married to Ben-Abinadab'}]",taw-fath',BDB Augmented Strong
Jedidah,יְדִידָה,pr. n. f.,"[{'definition': 'Jedidah = ""beloved""'}, {'definition': 'the wife of king Amon and mother of king Josiah'}]",yed-ee-daw',BDB Augmented Strong
Judith,יְהוּדִית,pr. n. f.,"[{'definition': 'Judith = ""Jewess"" or ""praised""'}, {'definition': 'the daughter of Beeri the Hittite and wife of Esau'}]",yeh-ho-deeth',BDB Augmented Strong
Jehoaddan,יְהוֹעַדִּין,pr. n. f.,"[{'definition': 'Jehoaddan = ""Jehovah delights""'}, {'definition': 'wife of king Joash and mother of king Amaziah of Judah'}]",yeh-ho-ad-deen',BDB Augmented Strong
Jehosheba,יְהוֹשֶׁבַע,pr. n. f.,"[{'definition': 'Jehosheba = ""Jehovah has sworn""'}, {'definition': 'daughter of king Joram of Judah and wife of the high priest Jehoiada', 'senses': [{'definition': ""alternate spelling 'Jehoshabeath' - H03090""}]}]",yeh-ho-sheh'-bah,BDB Augmented Strong
Jehoshabeath,יְהוֹשַׁבְעַת,pr. n. f.,"[{'definition': 'Jehoshabeath = ""Jehovah is an oath""'}, {'definition': 'daughter of king Joram of Judah and wife of the high priest Jehoiada', 'senses': [{'definition': ""alternate spelling 'Jehosheba- H3089""}]}]",yeh-ho-shab-ath',BDB Augmented Strong
Jochebed,יוֹכֶבֶד,pr. n. f.,"[{'definition': 'Jochebed = ""Jehovah is glory""'}, {'definition': 'the daughter of Levi,  wife and at the same time aunt of Amram,  and the mother of Moses,  Aaron, and Miriam'}]",yo-keh'-bed,BDB Augmented Strong
Joelah,יוֹעֵאלָה,pr. n. f.,"[{'definition': 'Joelah = ""may he avail""'}, {'definition': ""son of Jeroham of Gedor and one of David's mighty warriors""}]",yo-ay-law',BDB Augmented Strong
Jecoliah,יְכׇלְיָה,pr. n. f.,"[{'definition': 'Jecoliah or Jecholiah = ""Jehovah is able""'}, {'definition': 'wife of king Amaziah of Judah and mother of king Uzziah (Azariah)'}]",yek-ol-yaw',BDB Augmented Strong
Jemima,יְמִימָה,pr. n. f.,"[{'definition': 'Jemima = ""day by day""'}, {'definition': 'one of the daughters of Job born after the restoration'}]",yem-ee-maw',BDB Augmented Strong
Iscah,יִסְכָּה,pr. n. f.,"[{'definition': 'Iscah = ""one who looks forth""'}, {'definition': 'daughter of Haran,  niece of Abraham,  sister of Lot and Milcah'}]",yis-kaw',BDB Augmented Strong
Jael,יָעֵל,pr. n. f.,"[{'definition': 'Jael = ""mountain goat""'}, {'definition': 'the wife of Heber the Kenite who killed the general Sisera as he slept by driving a peg through his temples into the ground'}]",yaw-ale',BDB Augmented Strong
Jerushah,יְרוּשָׁא,pr. n. f.,"[{'definition': 'Jerushah or Jerusha = ""dispossessor""'}, {'definition': 'the wife of king Uzziah and mother of king Jotham of Judah'}]",yer-oo-shaw',BDB Augmented Strong
Jerimoth,יְרִימוֹת,pr. n. f.,"[{'definition': 'Jerimoth or Jeremoth = ""He is Most High""'}, {'definition': 'a Benjamite,  son of Bela and head of a house of Benjamite'}, {'definition': 'a Benjamite,  son of Becher and head of a house of Benjamite'}, {'definition': 'a Benjamite,  son of Beriah and grandson of Elpaal'}, {'definition': 'a Merarite Levite,  son of Mushi'}, {'definition': 'one of the men that joined David in the wilderness'}, {'definition': 'a Levite,  son of Heman and head of the 15th course of musicians'}, {'definition': 'a Levite in the reign of Hezekiah'}, {'definition': 'a son of Azriel,  ruler of the tribe of Naphtali in the reign of David'}, {'definition': 'a son of king David and the father of the wife of Rehoboam', 'senses': [{'definition': 'a son of Elam,  a man with a foreign wife in the time of Ezra'}, {'definition': 'a son of Zattu,  a man with a foreign wife in the time of Ezra'}]}]",yer-ee-mohth',BDB Augmented Strong
Jerioth,יְרִיעוֹת,pr. n. f.,"[{'definition': 'Jerioth = ""curtains""'}, {'definition': 'the wife or concubine of Caleb,  the son of Hezron of the descendants of Judah'}]",yer-ee-ohth',BDB Augmented Strong
Jeshanah,יְשָׁנָה,pr. n. f.,"[{'definition': 'Jeshanah = ""storage""'}, {'definition': 'a town of the southern border of the northern kingdom near Bethel'}]",yesh-aw-naw',BDB Augmented Strong
Cozbi,כֹּזְבִי,pr. n. f.,"[{'definition': 'Cozbi = ""my lie""'}, {'definition': 'a daughter of Zur,  a chief of the Midianites,  who was slain by Phinehas because of her adultery'}]",koz-bee',BDB Augmented Strong
Chenaanah,כְּנַעֲנָה,pr. n. f.,"[{'definition': 'Chenaanah = ""trader""'}, {'definition': 'father of Zedekiah the false prophet of Ahab'}, {'definition': 'son of Bilhan,  grandson of Jediael,  and great grandson of Benjamin and the founder of a house of Benjamin'}]",ken-ah-an-aw',BDB Augmented Strong
Leah,לֵאָה,pr. n. f.,"[{'definition': 'Leah = ""weary""'}, {'definition': 'daughter of Laban,  first wife of Jacob,  and mother of Reuben, Simeon,  Levi,  Judah,  Issachar,  Zebulun,  and Dinah'}]",lay-aw',BDB Augmented Strong
Lo-ruhamah,לֹא רֻחָמָה,pr. n. f.,"[{'definition': 'Lo-ruhamah = ""no mercy""'}, {'definition': ' symbolic name given by the prophet Hosea to his daughter', 'grammar': {'verbal_stem': 'Pual'}}]",lo roo-khaw-maw',BDB Augmented Strong
Lapidoth,לַפִּידוֹת,pr. n. f.,"[{'definition': 'Lapidoth = ""torches""'}, {'definition': 'the husband of Deborah the prophetess in the time of the judges'}]",lap-pee-doth',BDB Augmented Strong
Mehetabeel,מְהֵיטַבְאֵל,pr. n. f.,"[{'definition': 'Mehetabeel or Mehetabel = ""favoured of God""'}, {'definition': 'n pr m'}, {'definition': 'the ancestor of Shemaiah,  the false prophet who was hired against Nehemiah by Tobiah and Sanballat'}, {'definition': 'n pr f'}, {'definition': 'the daughter of Matred and wife of king Hadad of Edom'}]",meh-hay-tab-ale',BDB Augmented Strong
Mosera,מוֹסֵרָה,pr. n. f.,"[{'definition': 'Mosera or Moseroth = ""bonds""'}, {'definition': 'a place near Mount Hor where Aaron died'}]",mo-say-raw',BDB Augmented Strong
Mahazioth,מַחֲזִיאוֹת,pr. n. f.,"[{'definition': 'Mahazioth = ""visions""'}, {'definition': 'one of the 14 sons of Heman the Kohathite and the chief of a group of singers'}]",makh-az-ee-oth',BDB Augmented Strong
Mahlah,מַחְלָה,pr. n. f.,"[{'definition': 'Mahlah = ""disease""'}, {'definition': 'the eldest of 5 daughters of Zelophehad the grandson of Manasseh'}, {'definition': 'a Gileadite'}]",makh-law',BDB Augmented Strong
Mahalath,מַחֲלַת,pr. n. f.,"[{'definition': 'Mahalath = ""stringed instrument""'}, {'definition': 'daughter of Jerimoth son of king David and wife,  evidently the 1st,  of king Rehoboam the grandson of king David'}, {'definition': 'daughter of Ishmael and wife of Esau'}]",makh-al-ath',BDB Augmented Strong
Matred,מַטְרֵד,pr. n. f.,"[{'definition': 'Matred = ""pushing forward""'}, {'definition': 'daughter of Mezahab and mother of Mehetabel,  the wife of Hadar (Hadad) of Pau,  king of Edom'}]",mat-rade',BDB Augmented Strong
Michal,מִיכָל,pr. n. f.,"[{'definition': 'Michal = ""who is like God""'}, {'definition': 'daughter of king Saul,  sister of Jonathan,  wife of king David,  and mother of five; given to David as wife for the bride price of 100 Philistine foreskins; while still married to David,  her father gave her in marriage to another,  Phaltiel; at the death of Saul,  David forced her to return'}]",me-kawl',BDB Augmented Strong
Milcah,מִלְכָּה,pr. n. f.,"[{'definition': 'Milcah = ""queen""'}, {'definition': ""daughter of Haran and wife of Nahor,  her uncle and Abraham's brother,  to whom she bore 8 children""}, {'definition': 'a daughter of Zelophehad and granddaughter of Manasseh'}]",mil-kaw',BDB Augmented Strong
Hammoleketh,מֹלֶכֶת,pr. n. f.,"[{'definition': 'Hammoleketh = ""the queen""'}, {'definition': 'daughter of Machir and sister of Gilead'}]",mo-leh'-keth,BDB Augmented Strong
Mispereth,מִסְפֶּרֶת,pr. n. f.,"[{'definition': 'Mispereth = ""number""'}, {'definition': 'one of those who returned from exile with Zerubbabel', 'senses': [{'definition': ""also 'Mispar'""}]}]",mis-peh'-reth,BDB Augmented Strong
Mozah,מֹצָה,pr. n. f.,"[{'definition': 'Mozah = ""fountain""'}, {'definition': 'one of the towns in Benjamin; site unknown'}]",mo-tsaw',BDB Augmented Strong
Mizpah,מִצְפָּה,pr. n. f.,"[{'definition': 'Mizpah = ""watchtower""'}, {'definition': ""a place in Gilead north of Jabbok and location of Laban's cairn""}, {'definition': 'a place in Gilead south of Jabbok; site unknown'}, {'definition': 'a place near Mount Hermon'}, {'definition': 'an old sacred place in Benjamin'}]",mits-paw',BDB Augmented Strong
Makheloth,מַקְהֵלֹת,pr. n. f.,"[{'definition': 'Makheloth = ""place of assembly""'}, {'definition': 'a station of the Israelites in the wilderness'}]",mak-hay-loth',BDB Augmented Strong
Mara,מָרָא,pr. n. f.,"[{'definition': 'Mara = ""bitterness""'}, {'definition': 'a name that Naomi called herself due to her calamities'}]",maw-raw',BDB Augmented Strong
Merab,מֵרָב,pr. n. f.,"[{'definition': 'Merab = ""increase""'}, {'definition': 'the eldest daughter of king Saul; promised to David but given instead to Adriel the Meholathite; mother of 5 children'}]",may-rawb',BDB Augmented Strong
Marah,מָרָה,pr. n. f.,"[{'definition': 'Marah = ""bitter""'}, {'definition': 'the spring with bitter water which was 3 days travel from the crossing place of the Red Sea in the peninsula of Sinai'}]",maw-raw',BDB Augmented Strong
Maroth,מָרוֹת,pr. n. f.,"[{'definition': 'Maroth = ""bitterness""'}, {'definition': 'one of the towns in the lowland of Judah'}]",maw-rohth',BDB Augmented Strong
Miriam,מִרְיָם,pr. n. f.,"[{'definition': 'Miriam = ""rebellion""'}, {'definition': 'elder sister of Moses and Aaron'}, {'definition': 'a woman of Judah'}]",meer-yawm',BDB Augmented Strong
Merathaim,מְרָתַיִם,pr. n. f.,"[{'definition': 'Merathaim = ""double rebellion""'}, {'definition': ""another name for 'Babylon'""}]",mer-aw-thah'-yim,BDB Augmented Strong
Meshullemeth,מְשֻׁלֶּמֶת,pr. n. f.,"[{'definition': 'Meshullemeth = ""friend""'}, {'definition': 'daughter of Haruz of Jotbah,  wife of king Manasseh of Judah,  and mother of king Amon of Judah'}]",mesh-ool-leh'-meth',BDB Augmented Strong
Mithcah,מִתְקָה,pr. n. f.,"[{'definition': 'Mithcah = ""sweetness""'}, {'definition': 'a station of Israel in the wilderness; site unknown'}]",mith-kaw',BDB Augmented Strong
Naboth,נָבוֹת,pr. n. f.,"[{'definition': 'Naboth = ""fruits""'}, {'definition': 'the vineyard owner of Jezreel who Ahab and Jezebel had killed so that they could have his vineyard'}]",naw-both',BDB Augmented Strong
Nebaioth,נְבָיוֹת,pr. n. f.,"[{'definition': 'Nebaioth or Nebajoth = ""heights""'}, {'definition': 'a son of Ishmael'}, {'definition': 'people descended from1 called the Nabateans with their capital at Petra'}]",neb-aw-yoth',BDB Augmented Strong
Nohah,נוֹחָה,pr. n. f.,"[{'definition': 'Nohah = ""rest""'}, {'definition': 'the 4th son of Benjamin'}]",no-chaw',BDB Augmented Strong
Noadiah,נוֹעַדְיָה,pr. n. f.,"[{'definition': 'Noadiah = ""meeting with Jehovah""'}, {'definition': 'n pr m'}, {'definition': 'a Levite,  son of Binnui,  who weighed the vessels of gold and silver belonging to the temple which were brought back from Babylon'}, {'definition': 'n pr f'}, {'definition': 'a prophetess who joined Sanballat and Tobiah in their attempt to intimidate Nehemiah'}]",no-ad-yaw',BDB Augmented Strong
Nehushta,נְחֻשְׁתָּא,pr. n. f.,"[{'definition': 'Nehushta = ""brass""'}, {'definition': 'daughter of Elnathan,  wife of king Jehoiakim of Judah and mother of king Jehoiachin of Judah'}]",nekh-oosh-taw',BDB Augmented Strong
Noah,נֹעָה,pr. n. f.,"[{'definition': 'Noah = ""motion""'}, {'definition': 'one of the 5 daughters of Zelophehad in the time of the exodus'}]",no-aw',BDB Augmented Strong
Naomi,נׇעֳמִי,pr. n. f.,"[{'definition': 'Naomi = ""my delight""'}, {'definition': 'wife of Elimelech,  mother of Mahlon and Chilion,  and mother-in-law of Ruth and Orpah'}]",no-om-ee',BDB Augmented Strong
Nekoda,נְקוֹדָא,pr. n. f.,"[{'definition': 'Nekoda = ""distinguished""'}, {'definition': 'head of a family of temple slaves returning from exile to Jerusalem with Zerubbabel'}, {'definition': ""head of a family of exiles who were from Tel Melah,  Tel Harsha, Cherub,  Addan,  and Immer and who could not identify their father's house or their genealogy being of Israel and who returned with Zerubbabel""}]",nek-o-daw',BDB Augmented Strong
Sikkuth,סִכּוּת,pr. n. f.,"[{'definition': 'Sikkuth = ""tent""'}, {'definition': 'a Babylonian deity'}, {'definition': '(TWOT) Tabernacle'}]",sik-kooth',BDB Augmented Strong
Sansannah,סַנְסַנָּה,pr. n. f.,"[{'definition': 'Sansannah = ""palm branch""'}, {'definition': 'a town in southern Judah'}]",san-san-naw',BDB Augmented Strong
Sophereth,סֹפֶרֶת,pr. n. f.,"[{'definition': 'Sophereth = ""writing""'}, {'definition': 'an ancestor of a family of exiles who returned with Zerubbabel'}]",so-feh'-reth,BDB Augmented Strong
Ebronah,עֶבְרֹנָה,pr. n. f.,"[{'definition': 'Ebronah = ""passage""'}, {'definition': 'one of the stations of the Israelites in the wilderness immediately preceding Ezion-geber'}]",eb-raw-naw',BDB Augmented Strong
Eglah,עֶגְלָה,pr. n. f.,"[{'definition': 'Eglah = ""a heifer""'}, {'definition': 'a wife of David and mother of Ithream'}]",eg-law',BDB Augmented Strong
Adah,עָדָה,pr. n. f.,"[{'definition': 'Adah = ""ornament""'}, {'definition': 'the 1st of the 2 wives of Lamech and mother of Jabal and Jubal'}, {'definition': 'a Hittitess,  1 of the 3 wives of Esau and mother of Eliphaz', 'senses': [{'definition': ""also called 'Bashemath'""}]}]",aw-daw',BDB Augmented Strong
Azubah,עֲזוּבָה,pr. n. f.,"[{'definition': 'Azubah = ""forsaken""'}, {'definition': 'wife of Caleb,  the son of Hezron'}, {'definition': 'daughter of Shilhi,  wife of king Asa,  and mother of king Jehoshaphat of Judah'}]",az-oo-baw',BDB Augmented Strong
Atarah,עֲטָרָה,pr. n. f.,"[{'definition': 'Atarah = ""a crown""'}, {'definition': 'wife of Jerahmeel and mother of Onam'}]",at-aw-raw',BDB Augmented Strong
Ephah,עֵיפָה,pr. n. f.,"[{'definition': 'Ephah = ""gloomy""'}, {'definition': 'n pr m'}, {'definition': 'a son of Midian'}, {'definition': 'a Judaite,  son of Jahdai'}, {'definition': 'n pr f'}, {'definition': 'a concubine of Caleb in the line of Judah'}]",ay-faw',BDB Augmented Strong
Achsah,עַכְסָה,pr. n. f.,"[{'definition': 'Achsah = ""ankle chain"" or ""anklet""'}, {'definition': ""the daughter of Caleb and wife of Caleb's brother Othniel to whom she was given as a reward for capturing Debir""}]",ak-saw',BDB Augmented Strong
Anah,עֲנָה,pr. n. f.,"[{'definition': 'Anah = ""answer""'}, {'definition': 'n pr m'}, {'definition': 'son of Zibeon and father of Aholibamah,  a wife of Esau'}, {'definition': 'a Horite chief'}, {'definition': 'n pr f'}, {'definition': 'daughter of Zibeon'}]",an-aw',BDB Augmented Strong
Orpah,עׇרְפָּה,pr. n. f.,"[{'definition': 'Orpah = ""gazelle""'}, {'definition': 'a Moabite woman,  wife of Chilion,  the son of Naomi,  and sister-in- law of Ruth'}]",or-paw',BDB Augmented Strong
Ashtaroth,עַשְׁתָּרוֹת,pr. n. f.,"[{'definition': 'Ashtaroth or Astaroth = ""star""'}, {'definition': 'n pr f deity'}, {'definition': 'false goddesses in the Canaanite religion,  usually related to fertility cult'}, {'definition': 'n pr loc'}, {'definition': 'a city in Bashan east of the Jordan given to Manasseh', 'senses': [{'definition': 'same as  H06255'}]}]",ash-taw-roth',BDB Augmented Strong
Ashtoreth,עַשְׁתֹּרֶת,pr. n. f.,"[{'definition': 'Ashtoreth = ""star""'}, {'definition': 'the principal female deity of the Phoenicians worshipped in war and fertility', 'senses': [{'definition': ""also 'Ishtar' of Assyria and 'Astarte' by the Greeks and Romans""}]}]",ash-to'reth,BDB Augmented Strong
Athaliah,עֲתַלְיָה,pr. n. f.,"[{'definition': 'Athaliah = ""afflicted of the Lord""'}, {'definition': 'n pr m'}, {'definition': 'son of Jeroham of the tribe of Benjamin'}, {'definition': 'father of Jeshaiah of the sons of Elam who was one of the heads of a family who returned with Ezra from exile'}, {'definition': 'n pr f'}, {'definition': 'the daughter of Ahab and Jezebel and the wife of king Jehoram of Judah; killer of all the members of the royal family of Judah with the exception of one baby named Joash who was hidden by the high priest Jehoiada until 6 years had passed and Jehoiada led the revolution to put him on the throne,  overthrowing Athaliah and putting her to death'}]",ath-al-yaw',BDB Augmented Strong
Puah,פּוּעָה,pr. n. f.,"[{'definition': 'Puah = ""splendid""'}, {'definition': 'one of the 2 midwives of the Hebrews ordered by Pharaoh to kill all the male children born to Israel; time of Moses'}]",poo-aw',BDB Augmented Strong
Peninnah,פְּנִנָּה,pr. n. f.,"[{'definition': 'Peninnah = ""jewel""'}, {'definition': 'the other wife of Elkanah besides Hannah'}]",pen-in-naw',BDB Augmented Strong
Zibiah,צִבְיָּה,pr. n. f.,"[{'definition': 'Zibiah = ""roe""'}, {'definition': 'a native of Beersheba,  wife of king Ahaziah and mother of king Joash both of Judah'}]",tsib-yaw',BDB Augmented Strong
Zillah,צִלָּה,pr. n. f.,"[{'definition': 'Zillah = ""shade""'}, {'definition': 'the 2nd wife of Lamech and mother of Tubal-cain,  an instructor of every craftsman in bronze and iron'}]",tsil-law',BDB Augmented Strong
Hazelelponi,צְלֶלְפּוֹנִי,pr. n. f.,"[{'definition': 'Hazelelponi = ""facing the shade""'}, {'definition': 'sister of the sons of Etam in the genealogies of Judah'}]",tsel-el-po-nee',BDB Augmented Strong
Zipporah,צִפֹּרָה,pr. n. f.,"[{'definition': 'Zipporah = ""bird""'}, {'definition': 'daughter of Reuel or Jethro,  wife of Moses,  and mother of Gershom and Eliezer'}]",tsip-po-raw',BDB Augmented Strong
Zeruiah,צְרוּיָה,pr. n. f.,"[{'definition': 'Zeruiah = ""balsam""'}, {'definition': ""sister of David and mother of the 3 leading heroes of David's army-Abishai,  Joab,  and Asahel""}]",tser-oo-yaw',BDB Augmented Strong
Zeruah,צְרוּעָה,pr. n. f.,"[{'definition': 'Zeruah = ""full breasted""'}, {'definition': 'wife of Nebat and mother of king Jeroboam I of the northern kingdom of Israel'}]",tser-oo-aw',BDB Augmented Strong
